,Player,Eligible,Hall_of_Fame,MVP,Finals_MVP,NBA_Champ,All_NBA,All_Defensive,Def_POY,All_Star,Scoring_Champ,TRB_Champ,AST_Champ,STL_Champ,BLK_Champ,All_ABA,ABA_Champ,ROY,FG_per_game,FGA_per_game,3P_per_game,3PA_per_game,2P_per_game,2PA_per_game,FT_per_game,FTA_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,PTS_per_game,G_totals,GS_totals,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,eFG%_totals,FT_totals,FTA_totals,FT%_totals,ORB_totals,DRB_totals,TRB_totals,AST_totals,STL_totals,BLK_totals,PTS_totals,Trp_Dbl_totals,PER_advanced,TS%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced
4113,Jim Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2.3,0.0,0.0,1.2,2.3,0.5,1.2,0.9,1.5,2.5,0.6,0.3,0.7,2.9,76,3,89,173,.514,0,0,,89,173,.514,.514,41,89,.461,72,115,187,46,22,51,219,,9.3,.516,0.3,0.4,0.7,.037,-3.5,0.4,-3.1,-0.2
4114,Joe Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,9.2,0.0,0.1,4.2,9.1,2.5,3.1,2.4,4.0,6.4,1.0,0.6,0.8,10.9,1030,619,4325,9512,.455,30,126,.238,4295,9386,.458,.456,2528,3200,.790,2456,4119,6575,1010,606,868,11208,,15.4,.513,34.2,26.1,60.3,.107,-0.8,-0.8,-1.5,3.0
4115,John Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,6.2,0.0,0.0,2.4,6.2,1.2,2.1,2.7,5.5,8.3,0.8,,,5.9,147,,351,907,.387,0,2,.000,351,905,.388,.387,172,308,.558,401,812,1213,116,,,874,,9.2,.419,-2.5,2.7,0.2,.003,,,,
4116,Josh Smith,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7,12.6,0.5,1.8,5.2,10.8,2.6,4.2,1.9,5.5,7.4,3.1,1.2,1.9,14.5,894,772,5089,11247,.452,450,1578,.285,4639,9669,.480,.472,2368,3748,.632,1717,4936,6653,2789,1083,1713,12996,3,17.4,.504,8.7,42.3,51.0,.084,0.2,1.5,1.7,27.2
4117,Keith Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,3.6,0.1,0.2,1.3,3.4,0.5,0.7,0.3,0.5,0.8,1.0,0.6,0.1,3.3,42,4,57,150,.380,3,9,.333,54,141,.383,.390,21,28,.750,13,19,32,43,25,3,138,,6.0,.425,-0.5,0.5,0.0,-0.003,-6.0,0.4,-5.5,-0.4
4118,Ken Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,4.4,0.1,0.3,1.7,4.1,0.7,0.8,0.5,0.8,1.3,0.4,0.2,0.0,4.3,19,,34,83,.410,1,5,.200,33,78,.423,.416,13,16,.813,9,15,24,7,4,0,82,,10.6,.455,0.1,0.1,0.2,.045,-3.2,-1.6,-4.8,-0.1
4119,Kenny Smith,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.8,10.0,0.9,2.3,3.9,7.7,2.3,2.7,0.4,1.6,2.0,5.5,1.0,0.1,12.8,737,650,3527,7352,.480,664,1665,.399,2863,5687,.503,.525,1679,2026,.829,281,1173,1454,4073,759,65,9397,,14.9,.570,32.8,14.0,46.8,.101,0.9,-0.9,0.0,11.2
4120,LaBradford Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,6.1,0.2,0.6,2.5,5.6,1.2,1.5,0.5,1.0,1.5,2.2,0.8,0.1,6.7,183,40,485,1122,.432,31,104,.298,454,1018,.446,.446,217,267,.813,90,181,271,394,142,15,1218,,10.8,.491,-0.2,1.8,1.5,.024,-3.1,-0.5,-3.6,-1.2
4121,Larry Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,5.4,0.0,0.0,2.9,5.4,1.0,1.8,3.9,5.3,9.2,1.1,0.8,0.5,6.7,883,525,2519,4743,.531,0,7,.000,2519,4736,.532,.531,866,1630,.531,3401,4724,8125,941,699,457,5904,,12.6,.541,20.6,25.4,46.0,.096,-0.9,-0.7,-1.6,2.4
4122,Leon Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.9,0.0,0.0,0.7,1.9,0.7,1.1,0.7,1.5,2.2,0.2,0.3,0.1,2.2,15,0,11,28,.393,0,0,,11,28,.393,.393,11,17,.647,11,22,33,3,5,1,33,,14.3,.465,0.1,0.1,0.2,.112,-1.6,-1.2,-2.9,0.0
4123,Michael Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,3.9,0.0,0.0,2.1,3.9,1.4,2.6,2.5,4.6,7.1,1.5,0.8,0.6,5.6,449,170,950,1767,.538,1,7,.143,949,1760,.539,.538,626,1183,.529,1122,2071,3193,661,361,248,2527,,13.9,.552,11.4,12.0,23.4,.107,-0.6,0.5,-0.1,5.1
