,Player,Eligible,Hall_of_Fame,MVP,Finals_MVP,NBA_Champ,All_NBA,All_Defensive,Def_POY,All_Star,Scoring_Champ,TRB_Champ,AST_Champ,STL_Champ,BLK_Champ,All_ABA,ABA_Champ,ROY,FG_per_game,FGA_per_game,3P_per_game,3PA_per_game,2P_per_game,2PA_per_game,FT_per_game,FTA_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,PTS_per_game,G_totals,GS_totals,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,eFG%_totals,FT_totals,FTA_totals,FT%_totals,ORB_totals,DRB_totals,TRB_totals,AST_totals,STL_totals,BLK_totals,PTS_totals,Trp_Dbl_totals,PER_advanced,TS%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced
90,Dan Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,3.0,,,,,0.8,1.0,0.2,0.7,1.0,1.7,0.4,0.0,3.7,95,,135,286,.472,,,,,,,,77,91,.846,23,68,91,166,36,3,347,,12.3,.532,0.9,0.6,1.6,.071,-1.3,-0.5,-1.8,0.1
91,Derek Anderson,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9,9.6,1.0,3.1,2.9,6.6,3.0,3.6,0.7,2.5,3.2,3.4,1.1,0.1,12.0,615,390,2419,5922,.408,645,1891,.341,1774,4031,.440,.463,1874,2198,.853,440,1548,1988,2083,691,87,7357,1,15.3,.534,28.0,15.9,43.9,.117,0.8,0.2,1.0,13.5
92,Dwight Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,2.8,0.0,0.0,1.4,2.8,1.4,2.0,0.0,0.4,0.4,0.6,0.2,0.0,4.2,5,0,7,14,.500,0,0,,7,14,.500,.500,7,10,.700,0,2,2,3,1,0,21,,10.6,.571,0.0,0.0,0.0,.001,-4.3,-0.5,-4.8,0.0
93,Eric Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.3,0.1,0.1,0.4,1.2,0.6,1.0,0.4,0.7,1.1,0.2,0.1,0.1,1.6,27,0,12,35,.343,2,2,1.000,10,33,.303,.371,16,27,.593,12,19,31,5,3,2,42,,13.1,.448,0.0,0.2,0.2,.107,-5.6,0.3,-5.4,-0.1
94,Greg Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.0,0.0,0.0,3.0,6.0,1.4,2.5,2.1,4.1,6.2,0.6,0.7,0.9,7.3,680,315,2011,4090,.492,2,23,.087,2009,4067,.494,.492,929,1668,.557,1432,2814,4246,385,480,590,4953,,13.0,.513,1.8,16.9,18.7,.064,-2.6,-0.5,-3.0,-3.7
95,J.J. Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,4.2,0.0,0.1,1.9,4.1,0.9,1.6,1.2,1.6,2.8,0.7,0.7,0.2,4.8,157,2,306,658,.465,0,9,.000,306,649,.471,.465,139,249,.558,186,253,439,110,107,39,751,,12.1,.489,0.1,2.5,2.7,.065,-2.1,0.1,-1.9,0.0
96,James Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,5.2,0.8,2.5,1.3,2.7,0.7,0.9,0.4,1.8,2.3,1.2,0.5,0.2,5.8,247,83,525,1276,.411,196,611,.321,329,665,.495,.488,176,233,.755,108,452,560,291,121,55,1422,,9.9,.516,0.9,2.4,3.3,.037,-1.9,-0.8,-2.7,-0.8
97,Jerome Anderson,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.1,,,,,0.5,0.7,0.3,0.2,0.5,0.3,0.2,0.1,2.6,49,,51,104,.490,,,,,,,,25,36,.694,13,12,25,16,9,5,127,,11.4,.530,0.2,0.2,0.4,.068,-3.1,-0.3,-3.4,-0.1
98,Justin Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,4.6,0.7,2.3,1.2,2.3,0.9,1.2,0.6,2.0,2.6,0.8,0.4,0.3,5.3,242,30,454,1106,.410,159,545,.292,295,561,.526,.482,217,280,.775,141,480,621,184,105,80,1284,,12.4,.522,1.4,3.5,4.9,.072,-1.4,-0.1,-1.5,0.4
99,Kenny Anderson,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.7,11.1,0.6,1.8,4.0,9.2,2.6,3.3,0.8,2.3,3.1,6.1,1.5,0.1,12.6,858,693,4002,9512,.421,547,1580,.346,3455,7932,.436,.449,2238,2833,.790,670,1971,2641,5196,1258,111,10789,5,16.4,.501,36.4,26.1,62.5,.116,1.1,0.3,1.4,21.9
100,Kim Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3.7,,,,,0.7,1.3,0.8,1.3,2.1,0.7,0.2,0.2,3.0,21,,24,77,.312,,,,,,,,15,28,.536,17,28,45,15,4,5,63,,3.0,.353,-0.6,0.2,-0.4,-0.078,-6.1,-1.3,-7.5,-0.4
101,Kyle Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,5.5,0.4,1.3,2.2,4.2,1.0,1.4,0.7,3.7,4.4,2.3,1.0,0.6,6.7,505,248,1317,2765,.476,212,634,.334,1105,2131,.519,.515,520,731,.711,374,1846,2220,1167,510,298,3366,1,14.2,.545,9.0,18.0,27.0,.122,-0.8,2.5,1.7,10.0
102,Michael Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.9,0.0,0.2,2.0,4.7,1.6,2.3,1.2,1.3,2.5,4.3,1.2,0.1,5.7,36,12,73,175,.417,1,7,.143,72,168,.429,.420,57,82,.695,44,45,89,153,44,3,204,,10.5,.483,-0.5,0.6,0.2,.010,-2.2,-0.2,-2.4,-0.1
103,Nick Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,12.4,1.3,3.7,4.2,8.7,2.1,3.1,1.3,3.8,5.1,2.6,1.4,0.5,14.4,800,636,4416,9891,.446,1055,2964,.356,3361,6927,.485,.500,1642,2461,.667,1011,3053,4064,2087,1114,364,11529,1,15.8,.525,27.5,27.8,55.3,.106,1.4,0.5,1.9,24.7
104,Richard Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,5.4,0.4,1.1,1.9,4.3,0.7,0.9,1.1,2.4,3.5,1.5,0.6,0.2,5.6,407,30,909,2206,.412,148,445,.333,761,1761,.432,.446,294,386,.762,457,961,1418,611,225,94,2260,,12.3,.476,2.1,5.5,7.6,.061,-0.8,-0.3,-1.1,1.4
105,Ron Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,9.4,0.2,0.6,4.3,8.8,1.6,2.0,1.3,2.2,3.5,1.4,0.7,0.1,10.6,664,79,2936,6239,.471,105,366,.287,2831,5873,.482,.479,1079,1325,.814,856,1456,2312,952,470,90,7056,,14.3,.517,14.0,10.2,24.2,.077,-0.1,-1.2,-1.3,2.6
106,Ryan Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,10.1,2.0,5.4,2.2,4.7,1.8,2.1,1.9,3.3,5.3,0.9,0.5,0.3,12.3,649,289,2755,6533,.422,1325,3491,.380,1430,3042,.470,.523,1166,1366,.854,1247,2166,3413,586,332,217,8001,,16.5,.561,34.3,12.4,46.7,.134,2.6,-1.5,1.0,12.8
107,Shandon Anderson,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8,6.1,0.4,1.4,2.3,4.7,1.4,1.9,0.8,2.3,3.1,1.4,0.8,0.3,7.4,719,226,1996,4366,.457,307,972,.316,1689,3394,.498,.492,1028,1392,.739,583,1669,2252,1007,556,180,5327,,11.7,.535,9.4,14.2,23.6,.071,-1.4,0.1,-1.3,3.0
108,Willie Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,10.7,0.2,0.7,4.9,10.1,1.9,2.4,1.0,2.8,3.8,3.8,1.1,0.6,12.2,555,432,2804,5952,.471,99,372,.266,2705,5580,.485,.479,1064,1353,.786,550,1532,2082,2105,594,342,6771,1,13.8,.517,9.9,18.0,27.9,.084,-0.5,0.6,0.1,8.6
109,Wally Anderzunas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3.8,,,,,0.7,1.0,,,1.9,0.2,,,3.6,44,,65,166,.392,,,,,,,,29,46,.630,,,82,9,,,159,,8.8,.427,-0.4,0.3,-0.2,-0.023,,,,
110,Martynas Andriuškevičius,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.5,0.7,0.0,0.3,0.0,0.0,6,0,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,3,4,0,2,0,0,,15.5,.000,0.0,0.0,0.0,.155,-1.8,7.0,5.2,0.0
111,Don Anielak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,,,,,3.0,4.0,,,2.0,0.0,,,3.0,1,,0,4,.000,,,,,,,,3,4,.750,,,2,0,,,3,,1.8,.260,-0.1,0.0,-0.1,-0.263,,,,
112,Ike Anigbogu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.9,0.0,0.0,0.3,0.9,0.4,0.4,0.4,0.4,0.9,0.1,0.1,0.3,0.9,14,0,4,12,.333,0,0,,4,12,.333,.333,5,6,.833,6,6,12,1,1,4,13,,17.0,.444,0.0,0.1,0.0,.057,-0.9,-0.3,-1.1,0.0
113,Michael Ansley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,5.0,0.0,0.0,2.6,5.0,1.7,2.4,2.1,2.1,4.2,0.4,0.3,0.2,6.9,149,6,383,746,.513,0,0,,383,746,.513,.513,260,360,.722,311,310,621,67,51,24,1026,,17.0,.567,5.3,1.0,6.4,.142,0.9,-1.9,-1.0,0.6
114,Chris Anstey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.7,0.0,0.2,1.9,4.5,1.3,1.7,1.1,2.3,3.4,0.8,0.5,0.4,5.2,155,23,303,734,.413,4,29,.138,299,705,.424,.416,203,269,.755,178,356,534,127,78,65,813,,13.2,.477,0.2,2.6,2.8,.062,-3.1,0.2,-2.9,-0.5
115,Giannis Antetokounmpo,0,0,2,1,1,6,5,1,6,0,0,0,0,0,0,0,0,7.9,14.8,0.7,2.4,7.2,12.4,5.3,7.4,1.7,7.7,9.4,4.6,1.2,1.3,21.8,656,591,5188,9702,.535,447,1550,.288,4741,8152,.582,.558,3498,4873,.718,1119,5030,6149,3020,764,856,14321,29,24.5,.604,53.8,33.7,87.5,.197,3.9,2.1,6.0,43.3
116,Kostas Antetokounmpo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0.0,0.0,0.3,0.7,0.4,0.9,0.3,0.8,1.0,0.1,0.2,0.2,1.0,22,0,6,16,.375,0,0,,6,16,.375,.375,9,19,.474,6,17,23,3,4,4,21,,3.6,.431,-0.4,0.2,-0.2,-0.098,-10.1,0.3,-9.9,-0.2
117,Thanasis Antetokounmpo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3,2.5,0.1,0.4,1.2,2.1,0.5,0.9,0.8,1.1,2.0,0.7,0.4,0.2,3.1,127,11,164,317,.517,9,54,.167,155,263,.589,.532,61,112,.545,106,144,250,83,45,24,398,,11.5,.543,0.4,1.4,1.8,.075,-3.7,0.2,-3.4,-0.4
118,Carmelo Anthony,0,0,0,0,0,6,0,0,10,1,0,0,0,0,0,0,0,8.0,18.0,1.4,3.9,6.7,14.1,5.0,6.2,1.6,4.6,6.2,2.7,1.0,0.5,22.5,1260,1120,10119,22643,.447,1731,4873,.355,8388,17770,.472,.485,6320,7764,.814,1983,5825,7808,3422,1223,644,28289,2,19.5,.543,70.8,37.8,108.5,.120,2.5,-1.2,1.3,36.7
119,Cole Anthony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,13.1,1.7,5.0,3.4,8.0,2.9,3.4,0.6,4.5,5.1,5.0,0.7,0.3,14.9,112,99,576,1464,.393,190,563,.337,386,901,.428,.458,325,384,.846,70,499,569,561,76,35,1667,,13.0,.510,-1.0,2.5,1.6,.023,-1.1,-0.9,-2.0,0.0
120,Greg Anthony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,6.3,0.8,2.3,1.7,4.0,1.4,1.9,0.4,1.5,1.9,4.0,1.2,0.1,7.3,757,227,1914,4750,.403,610,1748,.349,1304,3002,.434,.467,1059,1445,.733,271,1146,1417,2997,887,79,5497,,14.5,.510,15.6,20.3,35.9,.109,0.1,1.2,1.3,13.3
121,Joel Anthony,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.6,0.0,0.0,0.8,1.6,0.5,0.8,1.1,1.6,2.8,0.2,0.3,1.1,2.2,490,110,398,776,.513,0,0,,398,776,.513,.513,268,405,.662,562,791,1353,99,127,531,1064,,9.7,.558,5.1,10.2,15.3,.104,-3.3,1.5,-1.8,0.4
122,Pero Antić,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,5.2,1.0,3.0,1.1,2.2,1.2,1.7,1.0,2.5,3.5,0.9,0.3,0.2,6.3,113,29,231,590,.392,108,344,.314,123,246,.500,.483,138,189,.730,115,283,398,107,37,26,708,,10.6,.526,1.1,1.9,3.0,.073,-2.3,-0.9,-3.3,-0.6
123,OG Anunoby,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,8.4,1.5,4.0,2.5,4.4,1.0,1.5,1.0,3.1,4.1,1.4,1.1,0.5,10.4,301,227,1190,2532,.470,448,1205,.372,742,1327,.559,.558,316,446,.709,310,936,1246,429,331,138,3144,,12.8,.576,7.1,10.4,17.6,.105,-0.6,0.7,0.1,4.3
124,Keith Appling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.6,0.0,0.6,0.4,1.0,0.4,0.4,0.0,0.2,0.2,0.2,0.2,0.0,1.2,5,0,2,8,.250,0,3,.000,2,5,.400,.250,2,2,1.000,0,1,1,1,1,0,6,,-4.8,.338,-0.1,0.0,-0.1,-0.199,-13.2,-2.0,-15.1,-0.1
125,Rafael Araújo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2.8,0.0,0.0,1.1,2.7,0.5,0.8,0.9,1.9,2.8,0.3,0.4,0.1,2.8,139,75,156,385,.405,1,4,.250,155,381,.407,.406,76,112,.679,124,271,395,41,51,16,389,,6.3,.448,-1.7,1.3,-0.4,-0.013,-6.2,-0.9,-7.2,-2.1
126,Stacey Arceneaux,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,8.0,,,,,0.9,1.9,,,4.6,0.6,,,7.1,7,,22,56,.393,,,,,,,,6,13,.462,,,32,4,,,50,,10.5,.405,-0.1,0.0,-0.1,-0.036,,,,
127,Robert Archibald,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.2,0.0,0.0,0.3,1.2,0.5,1.1,0.6,1.0,1.6,0.4,0.3,0.1,1.2,44,3,15,53,.283,0,0,,15,53,.283,.283,21,49,.429,27,42,69,16,14,6,51,,4.9,.342,-0.5,0.4,0.0,-0.004,-7.2,1.0,-6.1,-0.3
128,Tiny Archibald,1,1,0,0,1,5,0,0,6,1,0,1,0,0,0,0,0,6.7,14.4,0.1,0.3,6.7,14.3,5.3,6.6,0.5,1.6,2.3,7.4,1.1,0.1,18.8,876,268,5899,12628,.467,19,85,.224,5880,12543,.469,.468,4664,5760,.810,344,1015,2046,6476,719,81,16481,,18.0,.543,65.4,18.0,83.4,.128,1.6,-1.2,0.4,12.9
129,Ryan Arcidiacono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,3.7,0.8,2.1,0.8,1.6,0.6,0.8,0.2,1.7,2.0,2.1,0.5,0.0,4.6,217,36,349,808,.432,173,462,.374,176,346,.509,.539,134,166,.807,53,376,429,460,115,7,1005,,10.3,.570,4.0,2.2,6.3,.081,-2.5,0.1,-2.4,-0.4
130,Jim Ard,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4.3,0.0,0.1,1.7,4.3,0.9,1.4,1.3,2.9,4.3,0.6,0.2,0.5,4.4,431,,752,1870,.402,4,17,.235,748,1853,.404,.403,401,606,.662,573,1259,1832,278,59,121,1909,,10.6,.447,-2.0,6.0,4.0,.034,-3.2,0.4,-2.8,-0.7
131,Gilbert Arenas,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6.7,16.0,2.0,5.6,4.8,10.5,5.2,6.5,0.8,3.1,3.9,5.3,1.6,0.2,20.7,552,455,3722,8850,.421,1079,3077,.351,2643,5773,.458,.482,2879,3584,.803,444,1724,2168,2909,884,134,11402,4,19.6,.547,38.3,13.0,51.3,.127,3.1,-0.6,2.6,22.3
132,Trevor Ariza,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7,8.8,1.4,4.1,2.3,4.7,1.5,2.1,1.0,3.8,4.8,2.1,1.5,0.3,10.4,1118,769,4135,9804,.422,1605,4579,.351,2530,5225,.484,.504,1718,2350,.731,1081,4275,5356,2379,1628,355,11593,1,13.1,.535,24.9,39.4,64.3,.094,-0.3,1.0,0.6,21.8
133,Paul Arizin,1,1,0,0,1,4,0,0,10,2,0,0,0,0,0,0,1,7.9,18.7,,,,,7.0,8.7,,,8.6,2.3,,,22.8,713,,5628,13354,.421,,,,,,,,5010,6189,.810,,,6129,1665,,,16266,,19.8,.506,82.1,26.7,108.8,.183,,,,
134,Joe Arlauckas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4.8,0.0,0.0,1.6,4.8,0.7,0.9,0.7,0.8,1.4,0.9,0.3,0.4,3.8,9,0,14,43,.326,0,0,,14,43,.326,.326,6,8,.750,6,7,13,8,3,4,34,,7.9,.365,-0.1,0.1,-0.1,-0.045,-5.1,-1.7,-6.8,-0.1
135,B.J. Armstrong,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3.8,8.0,0.6,1.4,3.2,6.6,1.6,1.9,0.3,1.5,1.8,3.3,0.7,0.1,9.8,747,341,2850,5981,.477,436,1026,.425,2414,4955,.487,.513,1184,1383,.856,192,1129,1321,2479,533,47,7320,,14.5,.555,31.7,13.4,45.0,.121,0.4,-0.6,-0.2,8.1
136,Bob Armstrong,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.9,,,,,0.3,0.6,,,2.1,0.2,,,1.5,19,,11,37,.297,,,,,,,,6,12,.500,,,39,3,,,28,,7.8,.331,-0.2,0.1,-0.1,-0.063,,,,
137,Brandon Armstrong,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,2.7,0.2,0.7,0.7,2.0,0.1,0.2,0.2,0.4,0.6,0.2,0.2,0.0,2.2,108,0,101,287,.352,25,75,.333,76,212,.358,.395,12,20,.600,22,41,63,24,22,4,239,,4.9,.404,-1.4,0.8,-0.6,-0.039,-6.2,-1.8,-8.0,-1.0
138,Curly Armstrong,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,7.7,,,,,2.3,3.3,,,2.3,2.3,,,6.8,153,,347,1176,.295,,,,,,,,346,500,.692,,,89,358,,,1040,,,.372,0.5,6.7,7.1,,,,,
139,Darrell Armstrong,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,7.7,1.1,3.3,2.1,4.5,1.7,2.0,0.8,1.9,2.7,4.0,1.3,0.1,9.2,840,337,2663,6507,.409,923,2763,.334,1740,3744,.465,.480,1463,1679,.871,654,1615,2269,3394,1133,98,7712,,16.3,.532,27.4,22.4,49.8,.120,1.5,0.8,2.3,21.4
140,Hilton Armstrong,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2.4,0.0,0.0,1.2,2.3,0.6,1.1,1.0,1.6,2.6,0.3,0.3,0.5,3.0,292,40,347,693,.501,2,7,.286,345,686,.503,.502,184,316,.582,292,474,766,102,90,142,880,,9.9,.529,-0.4,4.3,3.9,.055,-4.6,0.5,-4.1,-1.8
141,Tate Armstrong,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,3.8,,,,,0.3,0.4,0.3,0.6,1.0,1.1,0.4,0.0,3.8,92,,159,350,.454,,,,,,,,32,40,.800,31,57,88,105,33,0,350,,9.9,.476,-0.1,0.5,0.3,.017,-1.9,-1.2,-3.1,-0.3
142,Jesse Arnelle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,5.3,,,,,1.4,2.2,,,5.5,0.6,,,4.7,31,,52,164,.317,,,,,,,,43,69,.623,,,170,18,,,147,,12.6,.378,-0.6,0.6,0.0,-0.001,,,,
143,Jay Arnette,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,3.9,,,,,0.9,1.1,,,1.0,1.2,,,3.7,114,,163,447,.365,,,,,,,,98,129,.760,,,116,139,,,424,,7.7,.421,-0.5,0.7,0.1,.006,,,,
144,Bob Arnzen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.7,3.7,0.0,0.1,1.7,3.7,0.5,0.7,0.6,0.6,2.0,0.3,0.2,0.1,4.0,111,,191,411,.465,1,5,.200,190,406,.468,.466,60,75,.800,33,32,217,35,3,2,443,,13.6,.499,0.7,0.7,1.4,.073,-2.0,-0.5,-2.4,0.0
145,Carlos Arroyo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5.7,0.2,0.7,2.3,5.0,1.4,1.7,0.4,1.3,1.7,3.1,0.5,0.0,6.6,569,191,1431,3269,.438,137,405,.338,1294,2864,.452,.459,771,956,.806,210,755,965,1761,290,26,3770,,13.4,.511,11.4,8.7,20.1,.091,-0.6,-0.5,-1.1,2.4
146,Darrell Arthur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,6.2,0.3,0.9,2.4,5.3,0.7,0.9,1.1,2.4,3.5,0.8,0.6,0.6,6.5,503,106,1381,3110,.444,161,458,.352,1220,2652,.460,.470,359,469,.765,547,1221,1768,409,309,307,3282,,12.2,.495,2.4,10.0,12.3,.066,-2.5,0.3,-2.2,-0.4
147,John Arthurs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3.2,,,,,1.0,1.4,,,1.3,1.5,,,3.2,11,,12,35,.343,,,,,,,,11,15,.733,,,14,17,,,35,,11.3,.421,-0.1,0.1,0.0,-0.004,,,,
148,Jamel Artis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,5.3,0.5,1.9,1.5,3.3,0.5,0.8,0.3,2.3,2.5,1.2,0.1,0.2,5.1,15,1,31,79,.392,8,29,.276,23,50,.460,.443,7,12,.583,4,34,38,18,2,3,77,,6.9,.457,-0.1,0.1,0.0,-0.006,-3.8,-1.6,-5.4,-0.2
149,Ömer Aşık,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.8,0.0,0.0,2.0,3.8,1.2,2.3,2.2,4.9,7.1,0.6,0.4,0.7,5.3,471,262,947,1795,.528,0,1,.000,947,1794,.528,.528,585,1062,.551,1036,2326,3362,280,167,339,2479,,13.4,.548,7.2,13.6,20.9,.109,-1.9,0.0,-1.9,0.1
150,Vincent Askew,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,5.4,0.2,0.5,2.4,4.9,1.7,2.3,0.9,1.7,2.5,2.2,0.7,0.2,7.1,467,27,1215,2534,.479,76,253,.300,1139,2281,.499,.494,805,1068,.754,400,776,1176,1017,304,106,3311,,12.6,.551,12.9,9.2,22.1,.113,-0.3,0.3,0.0,4.7
151,Keith Askins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,3.5,0.6,1.6,0.8,1.9,0.5,0.6,1.1,1.9,2.9,0.8,0.6,0.3,3.8,486,80,677,1688,.401,275,774,.355,402,914,.440,.483,223,311,.717,525,903,1428,375,278,170,1852,,9.2,.507,4.1,10.4,14.5,.087,-2.0,1.2,-0.8,2.5
152,Don Asmonga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2.1,,,,,0.1,0.1,,,0.1,0.7,,,0.7,7,,2,15,.133,,,,,,,,1,1,1.000,,,1,5,,,5,,-7.6,.162,-0.3,0.0,-0.3,-0.279,,,,
153,Dick Atha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,3.1,,,,,0.7,0.9,,,1.5,1.2,,,3.2,43,,53,135,.393,,,,,,,,31,39,.795,,,66,51,,,137,,10.5,.450,0.3,0.3,0.6,.068,,,,
154,Chucky Atkins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,8.7,1.3,3.7,2.2,5.0,1.4,1.8,0.3,1.4,1.7,3.4,0.7,0.1,9.9,696,325,2479,6022,.412,934,2565,.364,1545,3457,.447,.489,971,1258,.772,194,992,1186,2396,465,36,6863,,13.1,.522,19.2,8.7,27.9,.077,0.2,-1.3,-1.1,3.7
155,Al Attles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7.8,,,,,1.9,3.0,,,3.5,3.5,,,8.9,711,,2499,5545,.451,,,,,,,,1330,2106,.632,,,2463,2483,,,6328,1,11.3,.489,15.9,20.6,36.5,.098,,,,
156,Chet Aubuchon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3.0,,,,,0.6,1.2,,,,0.7,,,2.2,30,,23,91,.253,,,,,,,,19,35,.543,,,,20,,,65,,,.305,0.2,1.0,1.2,,,,,
157,Stacey Augmon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.5,0.0,0.1,3.0,6.4,1.9,2.6,1.3,1.9,3.2,1.6,1.0,0.3,8.0,1001,472,3037,6480,.469,12,79,.152,3025,6401,.473,.470,1904,2616,.728,1304,1912,3216,1561,974,317,7990,,13.7,.524,19.6,24.2,43.8,.097,-0.9,0.7,-0.2,9.8
158,D.J. Augustin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,7.4,1.3,3.4,1.8,4.1,2.1,2.4,0.3,1.6,1.8,3.9,0.6,0.0,9.5,976,334,2994,7270,.412,1262,3311,.381,1732,3959,.437,.499,2009,2317,.867,292,1513,1805,3761,567,32,9259,,14.0,.558,33.2,14.4,47.7,.100,0.5,-1.2,-0.7,7.6
159,James Augustine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.4,0.0,0.0,0.7,1.4,0.1,0.3,0.6,0.6,1.2,0.1,0.2,0.1,1.6,27,0,19,37,.514,0,0,,19,37,.514,.514,4,8,.500,17,16,33,4,5,2,42,,11.1,.518,0.1,0.2,0.3,.101,-2.5,-0.2,-2.7,0.0
160,Isaac Austin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.7,0.0,0.1,3.0,6.6,1.6,2.4,1.4,3.3,4.7,1.2,0.5,0.5,7.6,432,166,1295,2901,.446,9,51,.176,1286,2850,.451,.448,686,1024,.670,617,1413,2030,538,214,226,3285,,13.0,.490,-1.9,11.1,9.2,.053,-2.4,0.0,-2.5,-1.0
